	ion	x0	integer_mass	KMD_CH2	e_KMD_CH2	KMD_CH2_matches
197	<unknown0148>	337.107	337	0.26941669	0.00673461	<unknown0013>
198	<unknown0150>	337.932751	338	0.44458773	0.00675111	<unknown0107>
199	IC7H15O7	337.986251	338	0.39114747	0.00675218	IC6H5N1O4, IC6H5NO4, IC6H13O7
200	<unknown0157>	338.51755499999996	339	-0.13956327	0.00676279	
201	<unknown0151>	338.915938	339	0.46249856	0.00677075	CH3I2, <unknown0080>
202	IC6H14N1O7	338.9815	339	0.39700977	0.00677206	<unknown0052>, IC8H8O5, IC12H16O5
203	<unknown0152>	339.04576099999997	339	0.33282053	0.00677334	H14IO8, <unknown0051>, <unknown0109>
204	<unknown0164>	340.844742	341	-0.46415172	0.00680928	C2H3I2O2, C3H5I2O2
205	<unknown0158>	340.88534300000003	341	0.49529262	0.00681009	<unknown0014>
206	<unknown0160>	340.910972	341	0.46969224	0.00681061	
207	IC9H12N1O5	340.97602	341	0.40471687	0.00681191	<unknown0016>, IC8H10O5, <unknown0116>
208	<unknown0163>	341.003704	341	0.37706378	0.00681246	
209	<unknown0159>	341.043451	341	0.33736116	0.00681325	<unknown0088>, <unknown0118>
210	<unknown0162>	341.1097	341	0.27118614	0.00681458	
211	<unknown0165>	343.936445	344	0.44759751	0.00687105	IC6H5N1O7
212	IC9H15NO5	343.999496	344	0.38461691	0.00687231	IC6H9O5, <unknown0060>
213	<unknown0167>	366.823709	367	-0.41411037	0.00732828	
214	<unknown0166>	366.964579	367	0.44517693	0.0073311	<unknown0108>
215	IC12H16O5	367.004247	367	0.40555322	0.00733189	<unknown0052>, IC8H8O5, IC6H14N1O7
216	<unknown0168>	367.09365299999996	367	0.31624705	0.00733368	H14IO8, <unknown0034>, <unknown0049>
217	<unknown0170>	374.866608	375	-0.4480286	0.00748896	
218	<unknown0169>	374.961279	375	0.45740611	0.00749085	<unknown0100>
219	IC11H20O6	375.030461	375	0.38830136	0.00749223	IC6H10O6, <unknown0096>
220	<unknown0171>	375.09564700000004	375	0.32318815	0.00749354	IC6H14O4, <unknown0095>
221	IC9H15N1O7	375.98932482277	376	0.43050822	0.00751139	IC6H9O7, IC6H9NO7
222	<unknown0172>	376.041094	376	0.37879684	0.00751242	IC6H11O6, <unknown0131>
